time,vx,vy,yaw,duty
8.733972072601318359e+00,-5.785804287737878306e-04,-9.211828562755341922e-04,-3.470977896535024781e-02,1.548770985336827936e-02
8.742378711700439453e+00,-6.404653209824244520e-04,-1.089524567767729234e-03,-3.476435363503267706e-02,4.499999999999999833e-02
8.750177383422851562e+00,-7.392356784758962124e-04,-1.124832510945927150e-03,-3.448562671396700891e-02,4.499999999999999833e-02
8.759052276611328125e+00,-4.498438500788041789e-04,-7.171131571650417400e-04,-3.432565849177351969e-02,4.499999999999999833e-02
8.767260551452636719e+00,-2.251769136095730316e-04,-4.077879117993234398e-04,-3.448458101337851384e-02,4.499999999999999833e-02
8.775969982147216797e+00,-1.168846352230385724e-04,6.807364506162218360e-05,-3.412682290816420466e-02,4.499999999999999833e-02
8.783907890319824219e+00,-3.800632643317895126e-04,-3.691458007323176679e-04,-3.429981761806907836e-02,4.499999999999999833e-02
8.792335748672485352e+00,1.300477427204510018e-03,2.463672952249245686e-03,-3.148909065269844820e-02,4.499999999999999833e-02
8.800475120544433594e+00,4.068425189667680512e-03,4.689564340116246163e-03,-3.006164544353279872e-02,4.499999999999999833e-02
8.809054613113403320e+00,8.224871763002785871e-03,5.760567051152625830e-03,-2.850483136105219639e-02,4.499999999999999833e-02
8.817550182342529297e+00,1.485714009346967603e-02,4.980043107307019143e-03,-2.879427654265449485e-02,4.499999999999999833e-02
8.826124668121337891e+00,2.337559953034226701e-02,4.136664153409684228e-03,-2.853431338994811758e-02,4.499999999999999833e-02
8.834218502044677734e+00,3.262860812236052788e-02,3.029828752877469604e-03,-2.861789406534697919e-02,4.499999999999999833e-02
8.842357158660888672e+00,4.508634613579329958e-02,5.649277193034374584e-04,-2.897186552944383195e-02,4.499999999999999833e-02
8.850168466567993164e+00,5.647299633342715147e-02,-2.900571524475069503e-03,-3.118419886855769430e-02,4.499999999999999833e-02
8.858793973922729492e+00,7.109293472773610401e-02,-6.644156863020495365e-03,-3.196932937651289497e-02,4.499999999999999833e-02
8.867366790771484375e+00,8.756526640473172307e-02,-9.661311830625390201e-03,-3.313457711248242454e-02,4.499999999999999833e-02
8.875669479370117188e+00,1.047220795304565355e-01,-1.234719413549427089e-02,-3.247093455482004398e-02,4.499999999999999833e-02
8.884038448333740234e+00,1.212518105437539739e-01,-1.643721318185359728e-02,-3.197519611826562386e-02,4.499999999999999833e-02
8.892138004302978516e+00,1.398185325586698280e-01,-1.796229026013105787e-02,-3.004051165234408738e-02,4.499999999999999833e-02
8.900795221328735352e+00,1.565959744321336888e-01,-1.945238682272542111e-02,-3.040458040766864933e-02,4.499999999999999833e-02
8.908882856369018555e+00,1.730579825295185947e-01,-2.174306634176945141e-02,-3.140812656138525921e-02,4.499999999999999833e-02
8.917497158050537109e+00,1.897728266835991828e-01,-2.147124428032999577e-02,-3.166791585861505193e-02,4.499999999999999833e-02
8.925953149795532227e+00,2.082018342536456623e-01,-2.054906702703606508e-02,-3.016717246495358509e-02,4.499999999999999833e-02
8.933581113815307617e+00,2.251696692793704879e-01,-2.078111439441569439e-02,-3.182305082935723423e-02,4.499999999999999833e-02
8.942340612411499023e+00,2.447681065472520900e-01,-1.663173679349644329e-02,-2.958085064425133165e-02,4.499999999999999833e-02
8.950214147567749023e+00,2.596832324032992689e-01,-1.624989802155706389e-02,-3.028054692681471718e-02,4.499999999999999833e-02
8.959232807159423828e+00,2.791631399971382654e-01,-1.887965928503578666e-02,-2.986708583229429406e-02,4.499999999999999833e-02
8.967631340026855469e+00,2.943849398042447385e-01,-2.176610212648112316e-02,-3.170050552724654885e-02,4.499999999999999833e-02
8.975588798522949219e+00,3.109032814431166858e-01,-2.179513253354512653e-02,-3.035463481251174031e-02,4.499999999999999833e-02
8.984319686889648438e+00,3.247881335910611789e-01,-2.299832335551649926e-02,-3.046356894003191679e-02,4.499999999999999833e-02
8.992475748062133789e+00,3.438663583802173962e-01,-2.445927971480708549e-02,-3.041060136225978705e-02,4.499999999999999833e-02
9.000933170318603516e+00,3.565875610926402262e-01,-2.814807687700947650e-02,-3.081542570950530566e-02,4.499999999999999833e-02
9.008683919906616211e+00,3.666628241747528216e-01,-3.320862295999401498e-02,-3.217846448547335980e-02,4.499999999999999833e-02
9.016944646835327148e+00,3.867029533277565045e-01,-3.307241832062944586e-02,-3.018673552083090197e-02,4.499999999999999833e-02
9.025827884674072266e+00,4.001211711109287639e-01,-4.051799688159905821e-02,-3.119833275979902454e-02,4.499999999999999833e-02
9.034054994583129883e+00,4.143878285897814595e-01,-4.396987776187419317e-02,-3.269748960589058395e-02,4.499999999999999833e-02
9.042493581771850586e+00,4.263367094424587167e-01,-4.679250700144416825e-02,-3.216073699778285860e-02,4.499999999999999833e-02
9.050315141677856445e+00,4.381202434331069040e-01,-4.680517900360648548e-02,-3.151625313594917654e-02,4.499999999999999833e-02
9.059178352355957031e+00,4.533269366500274344e-01,-5.004060550046681571e-02,-3.024594292361309014e-02,4.499999999999999833e-02
9.067499876022338867e+00,4.687385371110144305e-01,-5.471732453020498183e-02,-3.134080290650686357e-02,4.499999999999999833e-02
9.075638771057128906e+00,4.771520056658028475e-01,-5.766042030659020157e-02,-3.094430678290611622e-02,4.499999999999999833e-02
9.084277153015136719e+00,4.892565773255266315e-01,-5.821674177149203239e-02,-2.816677963250639391e-02,4.499999999999999833e-02
9.092331647872924805e+00,5.029962325683400293e-01,-6.207215553454742407e-02,-2.931027889583423876e-02,4.499999999999999833e-02
9.100651025772094727e+00,5.076626142485399784e-01,-6.545868064392203201e-02,-2.835333801906698287e-02,4.499999999999999833e-02
9.109213352203369141e+00,5.155857843446998157e-01,-6.724269720407105577e-02,-2.816537750681189986e-02,4.499999999999999833e-02
9.117136001586914062e+00,5.269116306519241455e-01,-6.797405377880377797e-02,-2.768859701071073320e-02,4.499999999999999833e-02
9.125967979431152344e+00,5.381197490957067009e-01,-6.819889852524765872e-02,-2.510877080077407453e-02,4.499999999999999833e-02
9.133832931518554688e+00,5.429230081403121355e-01,-6.905568532353567601e-02,-2.446958118831098900e-02,4.499999999999999833e-02
9.142310142517089844e+00,5.498472183556983861e-01,-7.355702649937986837e-02,-2.483386412457012568e-02,4.499999999999999833e-02
9.150112152099609375e+00,5.527184132286230289e-01,-6.949531829873722977e-02,-2.254860131148771901e-02,4.499999999999999833e-02
9.158860445022583008e+00,5.589358803063667613e-01,-7.030458968246967866e-02,-2.320700853150469214e-02,4.499999999999999833e-02
9.167326211929321289e+00,5.655727368947149891e-01,-7.279231308909761555e-02,-2.368103246378346072e-02,4.499999999999999833e-02
9.175558805465698242e+00,5.721824058794869883e-01,-6.779706677516630919e-02,-2.135004501349541464e-02,4.499999999999999833e-02
9.184323787689208984e+00,5.758857901684868441e-01,-6.502299173683814826e-02,-1.944875482239921335e-02,4.499999999999999833e-02
9.191779136657714844e+00,5.834919948071108919e-01,-6.585825582489955587e-02,-2.045061509291673171e-02,4.499999999999999833e-02
