time,vx,vy,yaw,duty
2.683385372161865234e+00,2.430183524020068235e-05,2.139513576173018725e-05,-2.604272042010448429e-03,1.130179214637703697e-02
2.691976547241210938e+00,-2.763229436501710870e-05,8.575815639168135824e-05,-2.623187386794093197e-03,4.000000000000000083e-02
2.700239896774291992e+00,3.250498374934710467e-06,-1.045109238791683121e-05,-2.596026522721384816e-03,4.000000000000000083e-02
2.707995176315307617e+00,1.185753191037620458e-04,3.494449606711199892e-04,-2.838724613645043134e-03,4.000000000000000083e-02
2.716773986816406250e+00,1.547675889791141955e-04,-6.896454682751374313e-05,-2.753768245256331491e-03,4.000000000000000083e-02
2.725072383880615234e+00,8.050583634112752640e-05,7.758332220428079923e-05,-2.760333167542493998e-03,4.000000000000000083e-02
2.733838319778442383e+00,1.898793234752214378e-04,5.842999177572329866e-04,-2.972281336573942122e-03,4.000000000000000083e-02
2.742008209228515625e+00,1.328083314456008409e-03,1.613457276346198744e-03,-3.083092422047649817e-03,4.000000000000000083e-02
2.750566720962524414e+00,4.029058719759391269e-03,3.836349966537517305e-03,-3.087945293624283667e-03,4.000000000000000083e-02
2.758105993270874023e+00,8.624141732427471202e-03,4.139275474017304994e-03,-3.171283964078160621e-03,4.000000000000000083e-02
2.766913175582885742e+00,1.585940345444227309e-02,3.494920004493588112e-03,-3.319956309142555080e-03,4.000000000000000083e-02
2.775399923324584961e+00,2.474514958886980115e-02,4.423595349973402473e-03,-4.155667014207225715e-03,4.000000000000000083e-02
2.783642053604125977e+00,3.513081161981342071e-02,5.415120887688694082e-03,-4.346593849418484493e-03,4.000000000000000083e-02
2.792495965957641602e+00,4.675381319665573160e-02,5.397776567392796772e-03,-4.309779106389911331e-03,4.000000000000000083e-02
2.800258398056030273e+00,6.017539811230990937e-02,6.196839615580618590e-03,-4.848479683829389104e-03,4.000000000000000083e-02
2.808434009552001953e+00,7.394588018297404419e-02,6.207955265090548715e-03,-4.650462248040349716e-03,4.000000000000000083e-02
2.816995382308959961e+00,8.992394690598871920e-02,4.866548272054223821e-03,-4.942503843477705217e-03,4.000000000000000083e-02
2.825956106185913086e+00,1.064554407498377459e-01,4.301146757834647949e-03,-4.876715088075057880e-03,4.000000000000000083e-02
2.832932710647583008e+00,1.235031539015353924e-01,2.256647527877536901e-03,-5.063030245164158553e-03,4.000000000000000083e-02
2.841514110565185547e+00,1.390050194056407229e-01,3.284677672540223768e-03,-5.095098526445907862e-03,4.000000000000000083e-02
2.850265741348266602e+00,1.534130990721432053e-01,4.148851110730467605e-03,-5.153421772786061748e-03,4.000000000000000083e-02
2.858291625976562500e+00,1.671797996248013951e-01,3.888841470079224764e-03,-5.234728369601831036e-03,4.000000000000000083e-02
2.867023944854736328e+00,1.802533836521287847e-01,3.398104243079356438e-03,-5.277919246201007338e-03,4.000000000000000083e-02
2.875070571899414062e+00,1.944249935616016722e-01,3.447070597441613538e-03,-5.491908505093620781e-03,4.000000000000000083e-02
2.883417606353759766e+00,2.080842989938715415e-01,4.638561206081636377e-03,-5.820010365774667092e-03,4.000000000000000083e-02
2.891822099685668945e+00,2.225395961393992761e-01,5.564699279574080240e-03,-6.447184681507977556e-03,4.000000000000000083e-02
2.900546550750732422e+00,2.355813608740308651e-01,8.377898253558035621e-03,-6.688362697330786644e-03,4.000000000000000083e-02
2.908020019531250000e+00,2.466066066243538801e-01,9.925755141477124802e-03,-7.060258989763860960e-03,4.000000000000000083e-02
2.917037725448608398e+00,2.587296007169006540e-01,1.305322742138071389e-02,-7.674195040096059260e-03,4.000000000000000083e-02
