time,vx,vy,yaw,duty
8.983755111694335938e+00,5.518783568212020096e-01,9.150943283415501062e-04,3.183467421662471847e-02,5.500000000000000028e-02
8.991984128952026367e+00,5.653349471965415374e-01,-2.044955683603793574e-03,3.225403091454327742e-02,5.500000000000000028e-02
9.000095844268798828e+00,5.769300457084270972e-01,-5.508560594019303383e-03,3.302111172374913584e-02,5.500000000000000028e-02
9.008738756179809570e+00,5.898301586780411165e-01,-1.043973170320643649e-02,3.304018810267962680e-02,5.500000000000000028e-02
9.017443895339965820e+00,6.045206628991198761e-01,-1.575104464071290164e-02,3.335457095600340149e-02,5.500000000000000028e-02
9.026083707809448242e+00,6.218605819057791972e-01,-2.148048074603755089e-02,3.376651253002302400e-02,5.500000000000000028e-02
9.034062623977661133e+00,6.254132150301182635e-01,-2.359408649618168624e-02,3.637276802404582760e-02,5.500000000000000028e-02
9.041613817214965820e+00,6.410273303858349259e-01,-2.747985682685141068e-02,3.781208665319827494e-02,5.500000000000000028e-02
9.050075531005859375e+00,6.524749086915063723e-01,-3.139364628719765182e-02,3.842961755110949063e-02,5.500000000000000028e-02
9.058668613433837891e+00,6.618820458889067559e-01,-3.344264586671295836e-02,3.916641565504980910e-02,5.500000000000000028e-02
9.067031145095825195e+00,6.706834272148229914e-01,-3.294983666458049798e-02,4.213794171761030272e-02,5.500000000000000028e-02
9.075523853302001953e+00,6.840823299055975859e-01,-3.262984543041733826e-02,4.429977123828849478e-02,5.500000000000000028e-02
9.083436250686645508e+00,6.965243310060056370e-01,-3.186866598608818768e-02,4.574816528226297724e-02,5.500000000000000028e-02
9.092015504837036133e+00,7.054274128670785515e-01,-3.043232542653283648e-02,4.592430043406416085e-02,5.500000000000000028e-02
9.100544452667236328e+00,7.106487780500030382e-01,-2.899470004716375032e-02,4.484838616075186718e-02,5.500000000000000028e-02
9.108209371566772461e+00,7.155952439573897150e-01,-2.319197758091767064e-02,4.680958541921314414e-02,5.500000000000000028e-02
9.116904497146606445e+00,7.257683870669469073e-01,-1.960494635795071577e-02,4.774798868597043139e-02,5.500000000000000028e-02
9.125511884689331055e+00,7.318449654781231661e-01,-1.430300183973091423e-02,4.772128835781174611e-02,5.500000000000000028e-02
9.133398294448852539e+00,7.356258470563747931e-01,-6.553207541197250338e-03,4.896942649699507349e-02,5.500000000000000028e-02
9.141531467437744141e+00,7.437159390575703855e-01,-7.696439954361318286e-04,4.866785609856772582e-02,5.500000000000000028e-02
9.150075912475585938e+00,7.475326962708834788e-01,3.701261476158823702e-03,4.841878569466921689e-02,5.500000000000000028e-02
9.158608913421630859e+00,7.526669728971142614e-01,1.011097985070990093e-02,4.957357687394253754e-02,5.500000000000000028e-02
9.166525125503540039e+00,7.517446193518242392e-01,1.499658943228323639e-02,5.003408616077840293e-02,5.500000000000000028e-02
9.175079107284545898e+00,7.648459151893746144e-01,2.251812174171055267e-02,5.124356518654572118e-02,5.500000000000000028e-02
9.183561325073242188e+00,7.658213656336754216e-01,2.795805937001193814e-02,5.083975717970987823e-02,5.500000000000000028e-02
9.191896915435791016e+00,7.706192072097716173e-01,2.926749496303472295e-02,5.141213337721455695e-02,5.500000000000000028e-02
9.200189113616943359e+00,7.740060469931309139e-01,3.155910701571575799e-02,5.149305513435669529e-02,5.500000000000000028e-02
9.208279371261596680e+00,7.783528512239797914e-01,3.310018012455067521e-02,5.198481487903592463e-02,5.500000000000000028e-02
9.217536211013793945e+00,7.830264250461311804e-01,3.233913508334277515e-02,5.168705857165568213e-02,5.500000000000000028e-02
9.225071668624877930e+00,7.884651853908990482e-01,3.293015263109484725e-02,5.174173408447285682e-02,5.500000000000000028e-02
9.233428239822387695e+00,7.941263837910222945e-01,3.376124697972310296e-02,5.165868843371163727e-02,5.500000000000000028e-02
9.241742134094238281e+00,7.962921822785299364e-01,3.374031204750756185e-02,5.148225850411523169e-02,5.500000000000000028e-02
9.250253200531005859e+00,7.992954518986630230e-01,3.523749521336061452e-02,5.161006889265774139e-02,5.500000000000000028e-02
9.258005380630493164e+00,7.941716417124824456e-01,3.472896222943837319e-02,5.206771902523603390e-02,5.500000000000000028e-02
9.267017602920532227e+00,8.026855713578584517e-01,3.759057472729478849e-02,5.191530030937545337e-02,5.500000000000000028e-02
9.274930715560913086e+00,8.112255074550711598e-01,4.199093390319963426e-02,5.363507216510381148e-02,5.500000000000000028e-02
9.284153223037719727e+00,8.108007447731276907e-01,4.456620994838812050e-02,5.314406673472781700e-02,5.500000000000000028e-02
9.292011022567749023e+00,8.124134502476934028e-01,4.763166430356441383e-02,5.296376873832905896e-02,5.500000000000000028e-02
9.299876928329467773e+00,8.115002005873005464e-01,5.249760319633565986e-02,5.229271643902213412e-02,5.500000000000000028e-02
9.308301687240600586e+00,8.133384498287297149e-01,5.711064642649684581e-02,5.189405420585477963e-02,5.500000000000000028e-02
9.317136764526367188e+00,8.154422383836253951e-01,6.080216850551589669e-02,5.133321812153571195e-02,5.500000000000000028e-02
9.325885057449340820e+00,8.234189377911522723e-01,6.488425088891536241e-02,5.060919323781014334e-02,5.500000000000000028e-02
9.333693504333496094e+00,8.258575765215100395e-01,6.571915204134806676e-02,4.984934750850291557e-02,5.500000000000000028e-02
9.341961145401000977e+00,8.320043439247595263e-01,6.680803849304800535e-02,4.948524499297368706e-02,5.500000000000000028e-02
9.350093364715576172e+00,8.364905763116368131e-01,6.785235789729898714e-02,4.953233129731352685e-02,5.500000000000000028e-02
9.358179330825805664e+00,8.288071460253506606e-01,6.705888537037646424e-02,4.935025079504465340e-02,5.500000000000000028e-02
9.367305517196655273e+00,8.355476571856348400e-01,6.950174161732466938e-02,4.971412860561432584e-02,5.500000000000000028e-02
9.375709533691406250e+00,8.390226940185376847e-01,7.129296950648869591e-02,4.932617450200203757e-02,5.500000000000000028e-02
9.383818864822387695e+00,8.431065710514357159e-01,7.038104927094145091e-02,4.906600949341966694e-02,5.500000000000000028e-02
9.391968965530395508e+00,8.465686038204512931e-01,6.860881271499770506e-02,4.881631226288533215e-02,5.500000000000000028e-02
9.400608062744140625e+00,8.545332218568880700e-01,6.657441997878438267e-02,4.948145769369692581e-02,5.500000000000000028e-02
9.408300161361694336e+00,8.468753229503240831e-01,6.250055425357096961e-02,4.961717830466583212e-02,5.500000000000000028e-02
9.416955471038818359e+00,8.511523274790508964e-01,6.133296393017839687e-02,4.948250463203021643e-02,5.500000000000000028e-02
9.425096750259399414e+00,8.553888859694893654e-01,5.951518792524762569e-02,4.930195251128277611e-02,5.500000000000000028e-02
9.433651924133300781e+00,8.536359449819738154e-01,5.612474575269742194e-02,5.075549391544698780e-02,5.500000000000000028e-02
9.441977500915527344e+00,8.636249296849507484e-01,5.437934136190932660e-02,5.121416982418405817e-02,5.500000000000000028e-02
9.449943304061889648e+00,8.645790804611716007e-01,5.058888262494824761e-02,5.126175431006231575e-02,5.500000000000000028e-02
9.458308935165405273e+00,8.666888369794853997e-01,4.651578544067778986e-02,5.206095953268839727e-02,5.500000000000000028e-02
9.466885805130004883e+00,8.691983746987201886e-01,4.301167211184966921e-02,5.184042679201697479e-02,5.500000000000000028e-02
9.475289344787597656e+00,8.675486959981377755e-01,4.078345477459283108e-02,5.244382494817557971e-02,5.500000000000000028e-02
9.483849287033081055e+00,8.703749176866246717e-01,3.943943260694480341e-02,5.313088441062240042e-02,5.500000000000000028e-02
9.492508888244628906e+00,8.738322743279784977e-01,3.895877214533814692e-02,5.399789753056804392e-02,5.500000000000000028e-02
9.500699758529663086e+00,8.828238864298997290e-01,3.776945603975294385e-02,5.394332723674950120e-02,5.500000000000000028e-02
9.508009672164916992e+00,8.784872098358859072e-01,3.770543433797567123e-02,5.458615558515984845e-02,5.500000000000000028e-02
9.517144203186035156e+00,8.780516647486902304e-01,3.912128971921172149e-02,5.481246694955750620e-02,5.500000000000000028e-02
9.525454044342041016e+00,8.760524970471061934e-01,4.033255678311527953e-02,5.521757610476595024e-02,5.500000000000000028e-02
9.533416986465454102e+00,8.805573975505642803e-01,4.097733367521242537e-02,5.611848169825273125e-02,5.500000000000000028e-02
9.541966199874877930e+00,8.822041474505326608e-01,4.131448726563611423e-02,5.749554812681700183e-02,5.500000000000000028e-02
9.550157070159912109e+00,8.846359817644648960e-01,4.307416390708114495e-02,5.667907857064303362e-02,5.500000000000000028e-02
9.558334350585937500e+00,8.842794321154464621e-01,4.353556217966313147e-02,5.653728176789361848e-02,5.500000000000000028e-02
9.567126989364624023e+00,8.826896171604723396e-01,4.433039270283274658e-02,5.702473944583362486e-02,5.500000000000000028e-02
9.575973033905029297e+00,8.826396730532378720e-01,4.478204121594789311e-02,5.807285913546487294e-02,5.500000000000000028e-02
9.584167242050170898e+00,8.757913271726665005e-01,4.652232455514988124e-02,5.828683927066563575e-02,5.500000000000000028e-02
9.592684745788574219e+00,8.835020178762882370e-01,4.674027266787846718e-02,5.975685122211542993e-02,5.500000000000000028e-02
9.599704742431640625e+00,8.854282656974751253e-01,4.641192132925113512e-02,6.075365428516898286e-02,5.500000000000000028e-02
9.608930349349975586e+00,8.873390352901366906e-01,4.675386758408314053e-02,6.011052379783091149e-02,5.500000000000000028e-02
9.617068052291870117e+00,8.840266511854849574e-01,4.660187466849566307e-02,6.081759676515956226e-02,5.500000000000000028e-02
9.625096797943115234e+00,8.872292097855150050e-01,4.899985166632721267e-02,6.046725829197131113e-02,5.500000000000000028e-02
9.633532047271728516e+00,8.878107193245796669e-01,5.116613958502568005e-02,6.018966369338455552e-02,5.500000000000000028e-02
9.642150640487670898e+00,8.890523037859464628e-01,5.218091179693566672e-02,6.099301970999344846e-02,5.500000000000000028e-02
9.650502443313598633e+00,8.812361560839423458e-01,5.238152794927782019e-02,6.158178101040484576e-02,5.500000000000000028e-02
9.658010244369506836e+00,8.810541749998883621e-01,5.362281165736706295e-02,6.232440239225364026e-02,5.500000000000000028e-02
9.666959524154663086e+00,8.844656295106132493e-01,5.706327887008792038e-02,6.140737309030562530e-02,5.500000000000000028e-02
9.675625562667846680e+00,8.857724707800327391e-01,6.251802028858563509e-02,6.039010641390522849e-02,5.500000000000000028e-02
9.683847665786743164e+00,8.840502295767936891e-01,6.593528815928199893e-02,5.988353365282234053e-02,5.500000000000000028e-02
9.691980600357055664e+00,8.841779697555722795e-01,6.812741576539700639e-02,6.105050963353984839e-02,5.500000000000000028e-02
9.700088262557983398e+00,8.892338867469298247e-01,7.281373209866559559e-02,6.012157888834058356e-02,5.500000000000000028e-02
9.708004951477050781e+00,8.878287279178993519e-01,7.233185302516724480e-02,6.012557303176502971e-02,5.500000000000000028e-02
9.716509342193603516e+00,8.795676336604356660e-01,7.104360286272173863e-02,6.055449656860797253e-02,5.500000000000000028e-02
9.725356101989746094e+00,8.877901708007917003e-01,7.242951595877075710e-02,6.082403465187936897e-02,5.500000000000000028e-02
9.733500242233276367e+00,8.881106002921030917e-01,7.573505223831841771e-02,5.960448038273895299e-02,5.500000000000000028e-02
9.741749048233032227e+00,8.940876382042857173e-01,7.763251771479666441e-02,5.944587707293216838e-02,5.500000000000000028e-02
9.750615119934082031e+00,8.930989006290188659e-01,7.899275716084383503e-02,5.862981001121855829e-02,5.500000000000000028e-02
9.758002996444702148e+00,8.906263578307352935e-01,7.676146070269604382e-02,5.952893103718996659e-02,5.500000000000000028e-02
9.767435789108276367e+00,8.961025904927616414e-01,7.632168581143172759e-02,5.959239634628863552e-02,5.500000000000000028e-02
9.775104522705078125e+00,8.967133384513166217e-01,7.417904688576890115e-02,5.997763919378053948e-02,5.500000000000000028e-02
9.783415794372558594e+00,8.929881574487635865e-01,7.002161013455134031e-02,6.118209249959034868e-02,5.500000000000000028e-02
9.791977405548095703e+00,8.853667658206708646e-01,6.804751463543456946e-02,6.221851515190000848e-02,5.500000000000000028e-02
9.800539016723632812e+00,8.915989592655716445e-01,6.691634353296901927e-02,6.260255299919094407e-02,5.500000000000000028e-02
9.808807849884033203e+00,8.909142697755022544e-01,6.503097254394434035e-02,6.289859881266318675e-02,5.500000000000000028e-02
9.817223548889160156e+00,8.938161766735746028e-01,6.132485096226618360e-02,6.371641198711733289e-02,5.500000000000000028e-02
9.825675725936889648e+00,8.924533151298141842e-01,5.896298657619029188e-02,6.396456352785434563e-02,5.500000000000000028e-02
9.833684682846069336e+00,8.927671494325197799e-01,5.447187819528344355e-02,6.422687288186251786e-02,5.500000000000000028e-02
9.842028141021728516e+00,8.983852528303888363e-01,5.270175182628526744e-02,6.454864912000442267e-02,5.500000000000000028e-02
9.853013277053833008e+00,8.940226572811447170e-01,5.085300598636950664e-02,6.484621598197459758e-02,5.500000000000000028e-02
9.858066082000732422e+00,8.913933283345937264e-01,4.975405033319470205e-02,6.469914644321919650e-02,5.500000000000000028e-02
9.866987943649291992e+00,9.007361752056283200e-01,5.024360792881091969e-02,6.468366782140184956e-02,5.500000000000000028e-02
