time,vx,vy,yaw,duty
2.734048604965209961e+00,-7.899327578498227444e-05,1.521082533805985949e-04,1.233335614143356513e-03,1.073278527101605151e-02
2.742485761642456055e+00,-6.768091558396537944e-04,4.096903928147754880e-04,1.301796386355869636e-03,2.999999999999999889e-02
2.750185728073120117e+00,-4.469718681485574914e-04,3.450989750829280378e-04,1.218978613809415740e-03,2.999999999999999889e-02
2.759227275848388672e+00,-2.954559274573812628e-04,3.612280670133672994e-04,1.275863196738859055e-03,2.999999999999999889e-02
2.767526149749755859e+00,-1.498665981568774006e-04,2.338369350111873331e-04,1.357347458670881508e-03,2.999999999999999889e-02
2.776046276092529297e+00,-1.459639231606618584e-04,2.933832142298166456e-04,1.360705780679863667e-03,2.999999999999999889e-02
2.784199714660644531e+00,-1.704228783834973017e-04,4.885943334919913648e-04,1.234778205106019803e-03,2.999999999999999889e-02
2.792300939559936523e+00,7.019967669871287350e-04,2.722952881457389664e-04,7.975022657448078414e-04,2.999999999999999889e-02
2.800484180450439453e+00,2.148713118477389803e-03,6.006888798681521251e-04,7.362158790899286974e-04,2.999999999999999889e-02
2.809212207794189453e+00,5.005944690134038477e-03,1.245978494043892618e-03,1.073833905327746963e-03,2.999999999999999889e-02
2.817511081695556641e+00,8.883278729963592704e-03,1.406225720658646136e-03,8.626649811713664505e-04,2.999999999999999889e-02
2.825486421585083008e+00,1.533392067769286451e-02,9.793894581071459649e-04,2.272900903280143290e-04,2.999999999999999889e-02
2.834324598312377930e+00,2.292730280951044836e-02,1.060719025268252232e-03,6.220099683442368004e-04,2.999999999999999889e-02
2.841879844665527344e+00,3.191248599407106590e-02,1.521216718990226228e-03,1.129113621641034387e-03,2.999999999999999889e-02
2.850122213363647461e+00,4.157463312425430102e-02,1.750776011282958620e-03,7.239751629473079562e-04,2.999999999999999889e-02
2.858645915985107422e+00,5.235830000769050446e-02,9.523308420133751867e-04,-8.469884709227633660e-05,2.999999999999999889e-02
2.866753101348876953e+00,6.339825441627619518e-02,3.942798207802780913e-04,3.398765258826247425e-04,2.999999999999999889e-02
2.876195907592773438e+00,7.444785757875434229e-02,8.373267378616936190e-04,5.559195920696699718e-04,2.999999999999999889e-02
2.883981466293334961e+00,8.568637589984104408e-02,-8.626193522428595708e-04,4.692086281199398337e-04,2.999999999999999889e-02
2.892320871353149414e+00,9.770114223099923834e-02,-2.169543299033434205e-03,7.653406771485971646e-04,2.999999999999999889e-02
2.900783061981201172e+00,1.075477437803105951e-01,-1.890604768478800933e-03,5.761139744764957578e-04,2.999999999999999889e-02
2.909179210662841797e+00,1.169686156922197517e-01,-4.001688008200668216e-03,6.926317099127525826e-04,2.999999999999999889e-02
2.917495489120483398e+00,1.238856281194074815e-01,-3.842181094900241380e-03,5.675704203018803106e-04,2.999999999999999889e-02
2.925721406936645508e+00,1.322094438440169495e-01,-5.346746268789124949e-03,3.508643981252316147e-04,2.999999999999999889e-02
2.934011459350585938e+00,1.400292132687387114e-01,-4.954292483023534262e-03,2.793616631063753080e-04,2.999999999999999889e-02
2.942529916763305664e+00,1.460287611753010029e-01,-4.063545667752612757e-03,-1.047801023404462402e-04,2.999999999999999889e-02
2.950284004211425781e+00,1.543708226674132267e-01,-2.687678551855138178e-03,-2.756596502566013157e-04,2.999999999999999889e-02
2.959222793579101562e+00,1.611977488872900488e-01,-2.690624319094141702e-03,-6.240588942221900366e-04,2.999999999999999889e-02
2.967486858367919922e+00,1.693389339118578640e-01,3.685525718146002994e-04,-9.364953062695215418e-04,2.999999999999999889e-02
2.975661516189575195e+00,1.758032154566746552e-01,8.801994420251070756e-04,-1.371350572512512788e-03,2.999999999999999889e-02
2.984210968017578125e+00,1.827946062243429592e-01,2.197555311002559984e-03,-2.411127134129340335e-03,2.999999999999999889e-02
2.991882801055908203e+00,1.903194670760398888e-01,5.054547792539445909e-03,-2.650042220199458516e-03,2.999999999999999889e-02
3.000769853591918945e+00,1.989798663486808117e-01,6.544478316883232602e-03,-2.512031230857856342e-03,2.999999999999999889e-02
3.008615732192993164e+00,2.041538230381429453e-01,9.191686261474997163e-03,-2.991197367925859177e-03,2.999999999999999889e-02
3.017512798309326172e+00,2.111737775711418352e-01,9.400921658350358187e-03,-3.422435591231489695e-03,2.999999999999999889e-02
3.026119232177734375e+00,2.202508672253326583e-01,1.086989832851447194e-02,-3.422981122933805784e-03,2.999999999999999889e-02
3.033989906311035156e+00,2.246678320831283493e-01,1.156676102760642415e-02,-4.039659118341894575e-03,2.999999999999999889e-02
3.042492866516113281e+00,2.340368339867072434e-01,1.246092597067996813e-02,-4.553341454904484553e-03,2.999999999999999889e-02
3.050656318664550781e+00,2.404865855854886603e-01,1.230580758692482665e-02,-4.939977859522496489e-03,2.999999999999999889e-02
3.059207439422607422e+00,2.471357899673545799e-01,1.233269248714762185e-02,-5.045453683391685346e-03,2.999999999999999889e-02
3.066936731338500977e+00,2.545525319411746645e-01,1.176272397220067163e-02,-5.512526679182434483e-03,2.999999999999999889e-02
3.075907230377197266e+00,2.611987648582471122e-01,1.255350986174498008e-02,-6.138578998670780190e-03,2.999999999999999889e-02
3.083857536315917969e+00,2.661102658476556249e-01,1.149201383418140161e-02,-6.398143132955258147e-03,2.999999999999999889e-02
3.092343807220458984e+00,2.721410636109895531e-01,1.098000097604309201e-02,-6.539740680554774477e-03,2.999999999999999889e-02
3.100374221801757812e+00,2.770846441515038006e-01,1.140266401708946685e-02,-7.256838121763036116e-03,2.999999999999999889e-02
3.109139442443847656e+00,2.826889097592329425e-01,1.116967747093514617e-02,-8.009344642693431299e-03,2.999999999999999889e-02
3.117089509963989258e+00,2.894445624213273227e-01,1.106221002570995440e-02,-8.972474229019686276e-03,2.999999999999999889e-02
3.125969171524047852e+00,2.946087109295597584e-01,1.250658812855764447e-02,-1.004194754654797080e-02,2.999999999999999889e-02
3.134202003479003906e+00,2.969705519073240207e-01,1.260215990997871904e-02,-1.103364103418792881e-02,2.999999999999999889e-02
3.142497539520263672e+00,3.026583738750589503e-01,1.453122412075667259e-02,-1.189522349766335835e-02,2.999999999999999889e-02
3.150886774063110352e+00,3.073480287738195038e-01,1.441447621531754056e-02,-1.276392898381552288e-02,2.999999999999999889e-02
3.159227132797241211e+00,3.126706671368517654e-01,1.399557737531658894e-02,-1.357152589789837639e-02,2.999999999999999889e-02
3.167306661605834961e+00,3.171820619229450688e-01,1.326643948497188176e-02,-1.457067706893526264e-02,2.999999999999999889e-02
3.175962686538696289e+00,3.251604386646191891e-01,1.322564669334503826e-02,-1.538972869882783250e-02,2.999999999999999889e-02
3.184287071228027344e+00,3.314096922820626290e-01,1.410205275760909559e-02,-1.591452968698088555e-02,2.999999999999999889e-02
3.192312717437744141e+00,3.343429268004241006e-01,1.464759875464435868e-02,-1.628283761428141185e-02,2.999999999999999889e-02
3.200492382049560547e+00,3.399412814951315864e-01,1.492382010400119217e-02,-1.689269443533027507e-02,2.999999999999999889e-02
3.209213733673095703e+00,3.441697696632030068e-01,1.284469505493570154e-02,-1.792487594857862521e-02,2.999999999999999889e-02
3.217478990554809570e+00,3.496026772537554894e-01,1.294103969364274187e-02,-1.812204706293683507e-02,2.999999999999999889e-02
3.225585937500000000e+00,3.557470256787434448e-01,1.330792944179816882e-02,-1.847844540480092848e-02,2.999999999999999889e-02
3.234137058258056641e+00,3.573375645260097877e-01,1.435467324541136146e-02,-1.890400929315476028e-02,2.999999999999999889e-02
3.242556095123291016e+00,3.599269023943020840e-01,1.547839879158600072e-02,-1.939498535098346799e-02,2.999999999999999889e-02
3.250590085983276367e+00,3.660498115567488164e-01,1.576338920772841698e-02,-2.005628296819421397e-02,2.999999999999999889e-02
3.259249687194824219e+00,3.642364208289239902e-01,1.631724185387502593e-02,-2.097088454280918862e-02,2.999999999999999889e-02
3.267283916473388672e+00,3.667787317571055139e-01,1.566836315531173682e-02,-2.184884053059829578e-02,2.999999999999999889e-02
3.276057243347167969e+00,3.722544681221853780e-01,1.461369880040743439e-02,-2.247498904954778678e-02,2.999999999999999889e-02
3.284208536148071289e+00,3.751074089694509950e-01,1.117706348003167337e-02,-2.297677484279645951e-02,2.999999999999999889e-02
3.292435169219970703e+00,3.747692310416870787e-01,9.233078683666332345e-03,-2.350737349836580850e-02,2.999999999999999889e-02
3.300674200057983398e+00,3.793945386028357292e-01,8.896181709631967305e-03,-2.422912580094194884e-02,2.999999999999999889e-02
3.309262990951538086e+00,3.794544984616035066e-01,7.701465940129356529e-03,-2.504694709514828158e-02,2.999999999999999889e-02
3.317525148391723633e+00,3.833315061144456637e-01,4.629768164136760858e-03,-2.560096531228004541e-02,2.999999999999999889e-02
3.326162815093994141e+00,3.881750772594948495e-01,1.772331416305519824e-03,-2.607287441193721633e-02,2.999999999999999889e-02
3.334193944931030273e+00,3.888084382201109079e-01,5.064817284295329786e-04,-2.632612372563663400e-02,2.999999999999999889e-02
3.342206478118896484e+00,3.959242246075402871e-01,-2.924544575273304962e-03,-2.660364207928387140e-02,2.999999999999999889e-02
3.350183725357055664e+00,3.968326973172561223e-01,-5.317541735934937404e-03,-2.696316207144837732e-02,2.999999999999999889e-02
3.359102010726928711e+00,3.974047325435812184e-01,-7.526644035830486017e-03,-2.722637100167123528e-02,2.999999999999999889e-02
3.367275476455688477e+00,4.005475757170580131e-01,-8.231372526131415165e-03,-2.732038868885163993e-02,2.999999999999999889e-02
3.376014947891235352e+00,4.039589364611827493e-01,-1.030259536938610276e-02,-2.756213049269988155e-02,2.999999999999999889e-02
3.384032249450683594e+00,4.030979751766323171e-01,-1.227249957302185314e-02,-2.771408887964655829e-02,2.999999999999999889e-02
3.391981840133666992e+00,4.062542808178172260e-01,-1.551572148832218792e-02,-2.772971615540290036e-02,2.999999999999999889e-02
3.400618076324462891e+00,4.056079163505953988e-01,-1.456412692032582265e-02,-2.817205595292931325e-02,2.999999999999999889e-02
3.408895015716552734e+00,4.081043933265845469e-01,-1.298985247715705484e-02,-2.862743904547222079e-02,2.999999999999999889e-02
3.417357206344604492e+00,4.096980184009460513e-01,-1.027084822318702871e-02,-2.925645643470666316e-02,2.999999999999999889e-02
3.425761222839355469e+00,4.089918582733472752e-01,-6.124787407199150727e-03,-3.010029440712257143e-02,2.999999999999999889e-02
3.434328317642211914e+00,4.113754812325310373e-01,-3.108944264992209803e-03,-3.068532176581707793e-02,2.999999999999999889e-02
3.441827535629272461e+00,4.118508886796069524e-01,-9.689428491097488560e-04,-3.107549363684538810e-02,2.999999999999999889e-02
3.450164794921875000e+00,4.100742395745200497e-01,1.504547831679195740e-03,-3.163308296662303148e-02,2.999999999999999889e-02
3.458981990814208984e+00,4.101310186436146199e-01,4.365666035693175663e-03,-3.185985540129156190e-02,2.999999999999999889e-02
3.467283487319946289e+00,4.151367076964799230e-01,3.053111100464367574e-03,-3.196938984613915957e-02,2.999999999999999889e-02
3.475897073745727539e+00,4.146210001039955517e-01,3.735044299212853577e-03,-3.206793889085966798e-02,2.999999999999999889e-02
3.484225034713745117e+00,4.158479218228812724e-01,1.051215359717555965e-03,-3.161329359822864782e-02,2.999999999999999889e-02
3.491785287857055664e+00,4.149487499470582152e-01,-4.409490843700798746e-03,-3.089252388349517792e-02,2.999999999999999889e-02
